TIME	CPU	WCPU	IO	MEM
20181103-140229	  1	  0	        10	56.40
20181103-140234	  0	  0	         9	56.40
20181103-140239	  0	  0	        13	56.41
20181103-140244	  1	  0	        15	56.39
20181103-140249	  1	  0	         5	56.40
20181103-140254	  1	  0	         8	56.40
20181103-140259	  1	  0	         8	56.40
20181103-140304	  0	  0	        14	56.40
20181103-140309	  1	  0	        48	56.40
20181103-140314	  0	  0	        17	56.40
20181103-140319	  1	  0	         5	56.40
20181103-140324	  0	  0	         8	56.40
20181103-140329	  1	  0	         8	56.40
20181103-140334	  0	  0	         8	56.41
20181103-140339	  0	  0	         8	56.41
20181103-140344	  1	  0	        17	56.40
20181103-140349	  2	  0	         5	56.40
20181103-140354	  0	  0	         9	56.40
20181103-140359	  0	  0	         7	56.40
20181103-140404	  1	  0	         9	56.40
20181103-140409	  1	  0	        15	56.41
20181103-140414	  1	  0	        21	56.40
20181103-140419	  1	  0	         5	56.41
20181103-140424	  0	  0	         8	56.41
20181103-140429	  1	  0	         7	56.41
20181103-140434	  1	  0	         7	56.41
20181103-140439	  1	  0	         9	56.41
20181103-140444	  1	  0	        15	56.40
20181103-140449	  2	  0	         8	56.41
20181103-140454	  1	  0	         5	56.41
20181103-140459	  1	  0	         7	56.41
20181103-140504	  1	  0	         6	56.41
20181103-140509	  1	  0	        15	56.42
20181103-140514	  1	  0	        17	56.41
20181103-140519	  1	  0	         5	56.41
20181103-140524	  1	  0	         7	56.42
20181103-140529	  1	  0	         8	56.42
20181103-140534	  1	  0	         6	56.42
20181103-140539	  1	  0	         7	56.42
20181103-140544	  1	  0	        10	56.41
20181103-140549	  1	  0	         8	56.41
20181103-140554	  0	  0	         5	56.41
20181103-140559	  1	  0	         7	56.41
20181103-140604	  0	  0	         6	56.41
20181103-140609	  1	  0	        15	56.41
20181103-140614	  1	  0	        24	56.41
20181103-140619	  1	  0	        10	56.42
20181103-140624	  1	  0	         5	56.42
20181103-140629	  1	  0	         7	56.41
