TIME	CPU	WCPU	IO	MEM
20181103-141544	  0	  0	         4	11.39
20181103-141549	  0	  0	         8	11.39
20181103-141554	  0	  0	         0	11.39
20181103-141559	  0	  0	        11	11.39
20181103-141604	  0	  0	         1	11.40
20181103-141609	  0	  0	        10	11.40
20181103-141614	  0	  0	         1	11.40
20181103-141619	  0	  0	         9	11.39
20181103-141624	  0	  0	         0	11.40
20181103-141629	  0	  0	        10	11.39
20181103-141634	  0	  0	         1	11.39
20181103-141639	  0	  0	        19	11.39
20181103-141644	  0	  0	         2	11.39
20181103-141649	  0	  0	         8	11.40
20181103-141654	  0	  0	         0	11.42
20181103-141659	  0	  0	        13	11.41
20181103-141704	  0	  0	         3	11.40
20181103-141709	  0	  0	         9	11.40
20181103-141714	  0	  0	         1	11.40
20181103-141719	  0	  0	         8	11.41
20181103-141724	  0	  0	         0	11.40
20181103-141729	  0	  0	        12	11.40
20181103-141734	  0	  0	         5	11.39
20181103-141739	  0	  0	        15	11.40
20181103-141744	  0	  0	         1	11.40
20181103-141749	  0	  0	         9	11.40
20181103-141754	  0	  0	         0	11.40
20181103-141759	  0	  0	        11	11.40
20181103-141804	  0	  0	         1	11.40
20181103-141809	  0	  0	         9	11.40
20181103-141814	  0	  0	         1	11.40
20181103-141819	  0	  0	         8	11.40
20181103-141824	  0	  0	         0	11.40
20181103-141829	  0	  0	        11	11.40
20181103-141834	  0	  0	         1	11.39
20181103-141839	  0	  0	        13	11.40
20181103-141844	  0	  0	         1	11.39
20181103-141849	  0	  0	         8	11.39
20181103-141854	  0	  0	         0	11.40
20181103-141859	  0	  0	        10	11.40
20181103-141904	  0	  0	         0	11.41
20181103-141909	  0	  0	        10	11.40
20181103-141914	  0	  0	         2	11.40
20181103-141919	  0	  0	        11	11.40
20181103-141924	  0	  0	         0	11.40
20181103-141929	  0	  0	        10	11.40
20181103-141934	  0	  0	         0	11.40
20181103-141939	  0	  0	        15	11.40
20181103-141944	  0	  0	         1	11.41
20181103-141949	  0	  0	         8	11.40
20181103-141954	  0	  0	         0	11.40
20181103-141959	  0	  0	        11	11.40
20181103-142004	  0	  0	         0	11.40
20181103-142009	  0	  0	        13	11.51
20181103-142014	  2	  0	         8	11.52
20181103-142019	  0	  0	        10	11.52
20181103-142024	  0	  0	         0	11.52
20181103-142029	  0	  0	        12	11.52
20181103-142034	  0	  0	         0	11.52
20181103-142039	  0	  0	        23	11.52
20181103-142044	  0	  0	         1	11.51
20181103-142049	  0	  0	        11	11.52
20181103-142054	  0	  0	         0	11.51
20181103-142059	  0	  0	        12	11.52
20181103-142104	  0	  0	         0	11.52
20181103-142109	  1	  0	        54	11.52
20181103-142114	  0	  0	         1	11.51
20181103-142119	  0	  0	         8	11.52
20181103-142124	  0	  0	         0	11.52
20181103-142129	  0	  0	        14	11.52
20181103-142134	  0	  0	         0	11.52
20181103-142139	  0	  0	        19	11.52
20181103-142144	  0	  0	         5	11.51
20181103-142149	  0	  0	         9	11.51
20181103-142154	  0	  0	         0	11.51
20181103-142159	  0	  0	        10	11.52
20181103-142204	  0	  0	         0	11.52
20181103-142209	  0	  0	        11	11.52
20181103-142214	  0	  0	         1	11.51
20181103-142219	  0	  0	         8	11.52
