TIME	CPU	WCPU	IO	MEM
20181103-140229	  0	  0	         8	59.12
20181103-140234	  1	  0	        14	59.11
20181103-140239	  1	  0	         8	59.11
20181103-140244	  1	  0	         8	59.12
20181103-140249	  2	  0	         9	59.12
20181103-140254	  1	  0	         7	59.11
20181103-140259	  1	  0	        10	59.11
20181103-140304	  1	  0	        35	59.11
20181103-140309	  1	  0	        13	59.11
20181103-140314	  1	  0	        20	59.12
20181103-140319	  1	  0	        15	59.12
20181103-140324	  1	  0	         7	59.12
20181103-140329	  1	  0	         6	59.12
20181103-140334	  1	  0	        14	59.12
20181103-140339	  1	  0	         5	59.12
20181103-140344	  1	  0	        12	59.11
20181103-140349	  2	  0	         9	59.11
20181103-140354	  1	  0	         7	59.12
20181103-140359	  1	  0	        10	59.11
20181103-140404	  1	  0	         7	59.12
20181103-140409	  1	  0	        12	59.12
20181103-140414	  1	  0	        19	59.12
20181103-140419	  1	  0	         6	59.11
20181103-140424	  1	  0	         7	59.12
20181103-140429	  1	  0	         5	59.12
20181103-140434	  1	  0	         8	59.12
20181103-140439	  1	  0	         7	59.12
20181103-140444	  1	  0	         9	59.46
20181103-140449	  2	  0	        14	59.12
20181103-140454	  1	  0	         7	59.13
20181103-140459	  1	  0	         8	59.13
20181103-140504	  1	  0	         6	59.13
20181103-140509	  1	  0	        12	59.13
20181103-140514	  1	  0	        23	59.12
20181103-140519	  1	  0	        10	59.12
20181103-140524	  1	  0	         8	59.12
20181103-140529	  1	  0	         8	59.12
20181103-140534	  1	  0	         9	59.12
20181103-140539	  1	  0	         5	59.11
20181103-140544	  1	  0	        13	59.12
20181103-140549	  1	  0	         9	59.11
20181103-140554	  1	  0	         7	59.12
20181103-140559	  1	  0	         9	59.13
20181103-140604	  1	  0	         6	59.12
20181103-140609	  1	  0	        12	59.12
20181103-140614	  1	  0	        19	59.12
20181103-140619	  1	  0	         8	59.12
20181103-140624	  1	  0	         7	59.13
20181103-140629	  1	  0	         8	59.12
20181103-140634	  1	  0	         6	59.13
20181103-140639	  1	  0	         5	59.12
20181103-140644	  1	  0	         9	59.11
