TIME	CPU	WCPU	IO	MEM
20181103-141544	  1	  0	         8	56.29
20181103-141549	  1	  0	         6	56.29
20181103-141554	  1	  0	         8	56.29
20181103-141559	  1	  0	         5	56.29
20181103-141604	  0	  0	         6	56.29
20181103-141609	  1	  0	        14	56.29
20181103-141614	  1	  0	         9	56.29
20181103-141619	  1	  0	        16	56.29
20181103-141624	  1	  0	         8	56.29
20181103-141629	  1	  0	         5	56.29
20181103-141634	  1	  0	         6	56.29
20181103-141639	  1	  0	         5	56.28
20181103-141644	  2	  0	        14	56.29
20181103-141649	  1	  0	         5	56.28
20181103-141654	  1	  0	         8	56.29
20181103-141659	  1	  0	         5	56.29
20181103-141704	  1	  0	         6	56.30
20181103-141709	  0	  0	         6	56.29
20181103-141714	  0	  0	        10	56.29
20181103-141719	  1	  0	        18	56.29
20181103-141724	  1	  0	         9	56.29
20181103-141729	  0	  0	         5	56.29
20181103-141734	  1	  0	         8	56.29
20181103-141739	  0	  0	        11	56.28
20181103-141744	  1	  0	        13	56.29
20181103-141749	  1	  0	         7	56.29
20181103-141754	  0	  0	         7	56.29
20181103-141759	  0	  0	         5	56.29
20181103-141804	  1	  0	         6	56.30
20181103-141809	  0	  0	        10	56.29
20181103-141814	  0	  0	        11	56.30
20181103-141819	  1	  0	        14	56.29
20181103-141824	  1	  0	         9	56.29
20181103-141829	  1	  0	         5	56.28
20181103-141834	  1	  0	         5	56.29
20181103-141839	  0	  0	         9	56.28
20181103-141844	  2	  0	         9	56.29
20181103-141849	  1	  0	         4	56.28
20181103-141854	  1	  0	         8	56.28
20181103-141859	  0	  0	         8	56.29
20181103-141904	  1	  0	         5	56.29
20181103-141909	  1	  0	         8	56.29
20181103-141914	  0	  0	         9	56.29
20181103-141919	  1	  0	        17	56.29
20181103-141924	  1	  0	         7	56.29
20181103-141929	  1	  0	         5	56.29
20181103-141934	  1	  0	         8	56.29
20181103-141939	  1	  0	        12	56.28
20181103-141944	  2	  0	        10	56.28
20181103-141949	  1	  0	        12	56.28
20181103-141954	  0	  0	         7	56.29
20181103-141959	  0	  0	         6	56.29
20181103-142004	  0	  0	         6	56.29
20181103-142009	  0	  0	        16	56.29
20181103-142014	  1	  0	         9	56.30
20181103-142019	  1	  0	        13	56.29
20181103-142024	  1	  0	         9	56.29
20181103-142029	  1	  0	         5	56.29
20181103-142034	  0	  0	         5	56.29
20181103-142039	  0	  0	         9	56.28
20181103-142044	  1	  0	        11	56.29
20181103-142049	  1	  0	        12	56.29
